0
Mortgage
"Credit reporting, credit repair services, or other personal consumer reports"
"Payday loan, title loan, or personal loan"
Credit card or prepaid card
Checking or savings account
Vehicle loan or lease
Debt collection
"Money transfer, virtual currency, or money service"
Student loan
Bank account or service
Consumer Loan
